case_id,disease_domain,target_problem,starting_phase,friction_intensity,primary_friction,secondary_frictions,tool_dependency,expected_turn_budget_category,high_order_capability_domains,high_order_test_point_count,responsibility_chain_requirement_count,expected_evidence_channel_count,expected_closure_within_100,handoff_is_transition_only,required_receipt_count,blocking_residual_risk_count,premature_closure_trap_count,responsibility_chain_burden_score,responsibility_chain_burden_level,evidence_integration_burden_score,evidence_integration_burden_level,friction_burden_score,friction_burden_level,temporal_burden_score,temporal_burden_level,closure_coordination_burden_score,closure_coordination_burden_level,contract_complexity_index,contract_complexity_level
case_CL120_EHR_001,cardiovascular,chest_pain_acs_dissection,longitudinal_followup,light,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,maybe,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low
case_CL120_EHR_088,oncology_hematology,chemotherapy_complication,home_execution_failure,light,misstated_family_or_patient_information,delayed_or_staged_result_return | low_adherence_or_refusal,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,yes,False,2,5,5,0,low,0,low,0,low,1,moderate,0,low,1,low
case_CL120_EHR_089,oncology_hematology,anemia_bleeding,longitudinal_followup,light,cost_transport_or_work_barrier,low_adherence_or_refusal | external_system_gap,high,medium,HO1 | HO2 | HO3 | HO4,4,8,5,maybe,True,2,5,5,2,high,0,low,0,low,1,moderate,1,moderate,4,moderate
case_CL120_EHR_090,oncology_hematology,palliative_transition,discharge_transition,light,privacy_stigma_or_sensitive_history,external_system_gap | misstated_family_or_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,yes,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low
case_CL120_EHR_091,oncology_hematology,family_disclosure,discharge_transition,light,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,yes,True,2,4,5,1,moderate,0,low,0,low,1,moderate,1,moderate,3,low
case_CL120_EHR_092,oncology_hematology,new_mass_staging,pre_handoff,light,medication_confusion_or_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,short,HO1 | HO2 | HO3 | HO4,4,7,5,yes,False,3,5,5,1,moderate,0,low,0,low,0,low,1,moderate,2,low
case_CL120_EHR_093,oncology_hematology,chemotherapy_complication,pre_handoff,moderate,caregiver_conflict_or_fatigue,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,8,5,yes,False,3,5,5,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate
case_CL120_EHR_094,oncology_hematology,anemia_bleeding,post_handoff,moderate,document_or_image_quality_problem,incomplete_patient_information | medication_confusion_or_execution_failure,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,maybe,True,2,4,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low
case_CL120_EHR_095,oncology_hematology,palliative_transition,post_handoff,moderate,delayed_or_staged_result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,maybe,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_096,oncology_hematology,family_disclosure,result_return,moderate,low_adherence_or_refusal,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,yes,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_097,infectious_disease,culture_result_action,result_return,moderate,external_system_gap,document_or_image_quality_problem | delayed_or_staged_result_return,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,yes,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_098,infectious_disease,sepsis_warning,home_execution_failure,moderate,misstated_family_or_patient_information,delayed_or_staged_result_return | low_adherence_or_refusal,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,yes,False,2,5,5,0,low,0,low,1,moderate,1,moderate,0,low,2,low
case_CL120_EHR_099,infectious_disease,tb_or_hbv_stigma,home_execution_failure,moderate,cost_transport_or_work_barrier,low_adherence_or_refusal | external_system_gap,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,yes,False,2,5,5,1,moderate,0,low,1,moderate,1,moderate,0,low,3,low
case_CL120_EHR_100,infectious_disease,antibiotic_allergy_or_adherence,longitudinal_followup,moderate,privacy_stigma_or_sensitive_history,external_system_gap | misstated_family_or_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,8,5,maybe,True,2,5,5,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate
case_CL120_EHR_101,infectious_disease,culture_result_action,discharge_transition,heavy,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,long,HO1 | HO2 | HO3 | HO4,4,6,5,maybe,True,2,5,5,0,low,0,low,2,high,2,high,1,moderate,5,moderate
case_CL120_EHR_102,infectious_disease,sepsis_warning,discharge_transition,heavy,medication_confusion_or_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,long,HO1 | HO2 | HO3 | HO4,4,9,5,maybe,True,2,5,5,2,high,0,low,2,high,2,high,1,moderate,7,high
case_CL120_EHR_103,infectious_disease,transplant_patient_hbv_tb_stigma_and_immunosuppression_safety,pre_handoff,heavy,caregiver_conflict_or_fatigue,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,long,HO1 | HO2 | HO3 | HO4,4,6,5,maybe,True,3,5,5,0,low,0,low,2,high,2,high,2,high,6,moderate
case_CL120_EHR_104,infectious_disease,antibiotic_allergy_or_adherence,pre_handoff,light,document_or_image_quality_problem,incomplete_patient_information | medication_confusion_or_execution_failure,high,short,HO1 | HO2 | HO3 | HO4,4,9,5,yes,False,3,5,5,2,high,0,low,0,low,0,low,1,moderate,3,low
case_CL120_EHR_105,musculoskeletal_geriatrics,fracture_fall_prevention,post_handoff,light,delayed_or_staged_result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,maybe,True,2,5,6,1,moderate,0,low,0,low,1,moderate,2,high,4,moderate
case_CL120_EHR_106,musculoskeletal_geriatrics,osteoporosis,post_handoff,light,low_adherence_or_refusal,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,medium,HO1 | HO2 | HO3 | HO4,4,8,5,maybe,True,2,5,5,2,high,0,low,0,low,1,moderate,1,moderate,4,moderate
case_CL120_EHR_107,musculoskeletal_geriatrics,polypharmacy,result_return,light,external_system_gap,document_or_image_quality_problem | delayed_or_staged_result_return,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,yes,True,2,5,5,1,moderate,0,low,0,low,1,moderate,1,moderate,3,low
case_CL120_EHR_108,musculoskeletal_geriatrics,frailty_caregiver_execution,result_return,light,misstated_family_or_patient_information,delayed_or_staged_result_return | low_adherence_or_refusal,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,yes,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low
case_CL120_EHR_109,musculoskeletal_geriatrics,fracture_fall_prevention,home_execution_failure,light,cost_transport_or_work_barrier,low_adherence_or_refusal | external_system_gap,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,yes,False,2,5,5,1,moderate,0,low,0,low,1,moderate,0,low,2,low
case_CL120_EHR_110,musculoskeletal_geriatrics,osteoporosis,home_execution_failure,moderate,privacy_stigma_or_sensitive_history,external_system_gap | misstated_family_or_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,9,5,yes,False,2,5,6,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate
case_CL120_EHR_111,musculoskeletal_geriatrics,polypharmacy,longitudinal_followup,moderate,incomplete_patient_information,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,maybe,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_112,musculoskeletal_geriatrics,frailty_caregiver_execution,discharge_transition,moderate,medication_confusion_or_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,yes,True,2,4,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low
case_CL120_EHR_113,mental_health_somatic,anxiety_depression_somatic_red_flag_and_followup,longitudinal_followup,moderate,caregiver_conflict_or_fatigue,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,maybe,True,3,5,6,1,moderate,0,low,1,moderate,1,moderate,2,high,5,moderate
case_CL120_EHR_114,mental_health_somatic,depression_adherence,pre_handoff,moderate,document_or_image_quality_problem,incomplete_patient_information | medication_confusion_or_execution_failure,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,yes,False,3,5,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low
case_CL120_EHR_115,mental_health_somatic,stigma_hidden_history,pre_handoff,moderate,delayed_or_staged_result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,yes,False,3,5,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low
case_CL120_EHR_116,mental_health_somatic,anxiety_somatic_red_flag,post_handoff,moderate,low_adherence_or_refusal,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,medium,HO1 | HO2 | HO3 | HO4,4,7,5,maybe,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_117,mental_health_somatic,depression_adherence,post_handoff,moderate,external_system_gap,document_or_image_quality_problem | delayed_or_staged_result_return,high,medium,HO1 | HO2 | HO3 | HO4,4,6,5,maybe,True,2,5,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low
case_CL120_EHR_118,dermatology_ent_ophthalmology,rash_drug_reaction,result_return,heavy,misstated_family_or_patient_information,delayed_or_staged_result_return | low_adherence_or_refusal,high,long,HO1 | HO2 | HO3 | HO4,4,7,5,maybe,True,2,5,5,1,moderate,0,low,2,high,2,high,1,moderate,6,moderate
case_CL120_EHR_119,dermatology_ent_ophthalmology,vision_red_flag,result_return,heavy,cost_transport_or_work_barrier,low_adherence_or_refusal | external_system_gap,high,long,HO1 | HO2 | HO3 | HO4,4,6,5,maybe,True,2,5,5,0,low,0,low,2,high,2,high,1,moderate,5,moderate
case_CL120_EHR_120,dermatology_ent_ophthalmology,otitis_sinus_complication,home_execution_failure,heavy,privacy_stigma_or_sensitive_history,external_system_gap | misstated_family_or_patient_information,high,long,HO1 | HO2 | HO3 | HO4,4,7,5,maybe,False,2,5,5,1,moderate,0,low,2,high,2,high,0,low,5,moderate
